old_id,name,description,source,url
29,"Ferrari FA, Pagani A, Marconi M, Stefanoni R, Siccardi AG. ","Inhibition of candidacidal activity of human neutrophil leukocytes by aminoglycoside antibiotics. Antimicrob Agents Chemother 1980; 17(1): 87-88.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=283731&blobtype=pdf"
30,"Goh CL. ","Contact sensitivity to topical antimicrobials. (II). Sensitizing potentials of some topical antimicrobials. Contact Dermatitis 1989; 21(3): 166-171. ","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=2791540&query_hl=9&itool=pubmed_docsum"
31,"Binnick AN, Clendenning WE. ","Bacitracin contact dermatitis. Contact Dermatitis 1978; 4(3): 180-181.","",""
32,"Held JL, Kalb RE, Ruszkowski AM, DeLeo V. ","Allergic contact dermatitis from bacitracin. J Am Acad Dermatol 1987; 17(4): 592-594. ","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3668004&query_hl=12&itool=pubmed_docsum "
33,"Katz BE, Fisher AA. ","Bacitracin: a unique topical antibiotic sensitizer. J Am Acad Dermatol 1987; 17(6): 1016-1024.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=2963037&query_hl=14&itool=pubmed_docsum"
34,"Zaki I, Shall L, Dalziel KL. ","Bacitracin: a significant sensitizer in leg ulcer patients? Contact Dermatitis 1994; 31(2): 92-94.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=7750275&query_hl=33&itool=pubmed_docsum"
35,"Saap L, Fahim S, Arsenault E, Pratt M, Pierscianowski T, Falanga V, Pedvis-Leftick A.","Contact sensitivity in patients with leg ulcerations: a North American study. Arch Dermatol 2004; 140(10): 1241-1246.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=15492187&query_hl=1&itool=pubmed_DocSum"
37,"Roupe G, Strannegårde O. ","Anaphylactic shock elicited by topical administration of bacitracin. Arch Dermatol 1969; 100(4): 450-452.","",""
38,"Vale MA, Connolly A, Epstein AM, Vale MR. ","Bacitracin-induced anaphylaxis. Arch Dermatol 1978; 114(5): 800.","",""
39,"Selcow JE. ","Life threatening anaphylaxis following topical administration of bacitracin ointment: case report. Proc N Engl Soc Allergy 1982; 3: 255-257.","",""
40,"Schechter JF, Wilkinson RD, Del Carpio J. ","Anaphylaxis following the use of bacitracin ointment: report of a case and review of the literature Arch Dermatol 1984; 120(7): 909-911.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6732261&query_hl=22&itool=pubmed_DocSum"
41,"Dyck ED, Vadas P. ","Anaphylaxis to topical bacitracin. 1997; 52(8): 870-871.","",""
42,"Lin FL, Woodmanse D, Patterson R. ","Near-fatal anaphylaxis to topical bacitracin ointment. J Allergy Clin Immunol 1998; 101(1): 136-137.","",""
43,"Saryan JA, Dammin TC, Bouras AE. ","Anaphylaxis to topical bacitracin zinc ointment. Am J Emerg Med 1998; 16(5): 512-513.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=9725969&query_hl=35&itool=pubmed_docsum"
44,"Netland PA, Baumgartner JE, Andrews BT. ","Intraoperative anaphylaxis after irrigation with bacitracin: case report. Neurosurgery 1987; 21(6): 927-928.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3437964&query_hl=37&itool=pubmed_docsum"
45,"Sprung J, Schedewie HK, Kampine JP. ","Intraoperative anaphylactic shock after bacitracin irrigation. Anesth Analg 1990; 71(4): 430-433. ","",""
46,"Gall R, Blakley B, Warrington R, Bell DD. ","Intraoperative anaphylactic shock from bacitracin nasal packing after septorhinoplasty. Anesthesiology 1999; 91(5): 1545-1547.","",""
47,"Blas M, Briesacher KS, Lobato EB. ","Bacitracin irrigation: a cause of anaphylaxis in the operating room. Anesth Analg 2000; 91(4): 1027-1028.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=11004070&query_hl=37&itool=pubmed_docsum"
48,"Antevil JL, Muldoon MP, Battaglia M, Green R.","Intraoperative anaphylactic shock associated with bacitracin irrigation during revision total knee arthroplasty. A case report. J Bone Joint Surg Am 2003; 85-A(2), 339-342.","Free pdf","http://www.ejbjs.org/cgi/reprint/85/2/339"
49,"Freiler JF, Steel KE, Hagan LL, Rathkopf MM, Roman-Gonzalez J. ","Intraoperative anaphylaxis to bacitracin during pacemaker change and laser lead extraction. Ann Allergy Asthma Immunol 2005; 95(4): 389-393.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16279570&query_hl=1&itool=pubmed_DocSum"
50,"Jacob SE, James WD. ","Bacitracin after clean surgical procedures may be risky. J Am Acad Dermatol 2004; 51(6): 1036.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=15583617&query_hl=1&itool=pubmed_DocSum"
51,"Schalock PC, Zug KA. ","Bacitracin. Cutis 2005; 76(2): 105-107.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16209155&query_hl=1&itool=pubmed_DocSum"
52,"Okai Y, Ishizaka S","A possible immunomodulating activity of arbekacin (ABK), a newly synthesized antibiotic against methicillin-resistant Staphylococcus aureus (MRSA). Int J Immunopharmacol 1994; 16(4): 321-327.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8045672&query_hl=45&itool=pubmed_DocSum"
53,"Akaki T, Dekio S. ","Contact dermatitis from arbekacin sulfate: report of a case. J Dermatol 2002; 29(10): 674-675.","",""
54,"Adam D, Staber F, Belohradsky BH, Marset W. ","Effect of dihydrostreptomycin on phagocytosis of mouse peritoneal macrophages in vitro. Infect Immun 1972; 5(4): 537-541.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=422403&blobtype=pdf"
55,"Spigarelli MG, Hurwitz ME, Nasr SZ. ","Hypersensitivity to inhaled TOBI following reaction to gentamicin. Pediatr Pulmonol 2002; 33(4): 311-314.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=11921461&query_hl=6&itool=pubmed_docsum"
56,"Hall FJ. ","Anaphylaxis after gentamicin. Lancet 1977; 2(8035): 455.","",""
57,"Schulze S, Wollina U. ","Gentamicin-induced anaphylaxis. Allergy 2003; 58(1): 88-89. ","",""
58,"Muñoz Bellido FJ, Moyano JC, Alvarez M, Juan JL, Bellido J.","Contact sensitivity to gentamicin with tolerance of systemic exposure. Allergy 1996; 51(10): 758-759.","",""
59,"Sánchez-Pérez J, López MP, Moreno de Vega Haro MJ, García-Díez A. ","Allergic contact dermatitis from gentamicin in eyedrops, with cross-reactivity to kanamycin but not neomycin. Contact Dermatitis 2001; 44(1): 54.","",""
60,"Paniagua MJ, García-Ortega P, Tella R, Gaig P, Richart C. ","Systemic contact dermatitis to gentamicin. Allergy 2002; 57(11): 1086-1087.","",""
61,"Sachs B, Erdmann S, Borchardt I, Druke P, Merk HF. ","Drug-induced allergic cytopenia: in vitro confirmation by the lymphocyte transformation test. Arch Intern Med 2000; 160(14) 2218-2219.","",""
62,"Thomas P, Schuh A, Summer B, Mazoochian F, Thomsen M. ","Allergy towards bone cement. Orthopade. 2006; 35(9): 956-960.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16865384&query_hl=1&itool=pubmed_DocSum"
63,"Papachristou F, Printza N, Farmaki E, Leontsini M, Kavaki D, Kollios K. ","Antibiotics-induced acute interstitial nephritis in 6 children. Urol Int. 2006; 76(4): 348-352.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16679839&query_hl=1&itool=pubmed_DocSum"
64,"Forsgren A, Schmeling D.","Effect of antibiotics on chemotaxis of human leukocytes. Antimicrob Agents Chemother 1977; 11(4) 580-584.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=352031&blobtype=pdf"
67,"Forsgren A, Banck G. ","Influence of antibiotics on lymphocyte function in vitro. Infection 1978; 6 (Suppl 1): 91-97.","",""
68,"Munster AM, Boyd Loadholdt C, Leary AG, Barnes MA. ","The effects of antibiotics on cell-mediated immunity. Surgery 1977; 81(6): 692-695.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=324012&query_hl=31&itool=pubmed_DocSum"
69,"Forsgren A, Gnarpe H.","The effects of antibacterial agents on the association between bacteria and leukocytes. Scand J Infect Dis 1982; 33: 115-120.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6958028&query_hl=20&itool=pubmed_docsum"
70,"Sacchi F, Marseglia G, Fietta N, Marchi A, Siccardi AG.","Effect of aminoglycoside antibiotics on neutrophil chemotaxis. Antimicrob Agents Chemother 1981; 20(2): 258-259.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=181674&blobtype=pdf"
71,"Burgaleta C, Martinez-Beltran J, Bouza E. ","Comparative effects of moxalactam and gentamicin on human polymorphonuclear functions. Infect Immun 1982; 21(5): 718-720.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=181999&blobtype=pdf"
72,"Le Moli S, Seminara R, D""Amelio R, Aiuti F.","In vitro and in vivo effect of sisomicin and gentamicin on polymorphonuclear chemotaxis and phagocytosis.  Int J Immunopharmacol 1983; 5(1): 49-54.","",""
73,"Melby K, Quie PG. ","Effects of methotrexate, ampicillin and gentamicin alone and in combination on the in vitro locomotion of human polymorphonuclear cells (PMN). Acta Path Microbiol Immunol Scand, Sect C 1984; 92(5): 331-333.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6516855&query_hl=37&itool=pubmed_docsum"
74,"McDonald PJ, Wetherall BL, Pruul H. ","Postantibiotic leukocyte enhancement: increased susceptibility of bacteria pretreated with antibiotics to activity of leukocytes. Rev Infect Dis 1981; 3(1): 38-44.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=7012999&query_hl=5&itool=pubmed_docsum"
75,"Brunner H, Undeutsch C. ","Effect of cephalothin and gentamicin on phagocytosis of Klebsiella pneumoniae by guinea-pig alveolar macrophages. In: The Influence of Antibiotics on the Host-Parasite Relationship, Eickenberg H-UU, Hahn H, Opferkuch W (eds), p.129-132. Springer Verlag, Berlin, 1982.","",""
76,"Goh CL.","Contact sensitivity to topical antimicrobials. (II). Sensitizing potentials of some topical antimicrobials. Contact Dermatitis 1989; 21(3): 166-171.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=2791540&query_hl=18&itool=pubmed_docsum"
77,"Maurer T, Weirich EG, Hess R.","The optimization test in the guinea pig in relation to other predictive sensitization methods. Toxicology 1980; 15(3): 163-171.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=7466830&query_hl=20&itool=pubmed_docsum"
78,"Fauchère JL, Berche P, Veron M, Kreis H, Crosnier J. ","Experimental infection to Klebsiella pneumoniae in mice immunodepressed with cyclophosphamide and treated with gentamicin. Ann Microbiol 1978; 129(4): 433-446.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=358887&query_hl=23&itool=pubmed_docsum"
79,"Holdiness MR. ","Contact dermatitis to antituberculosis drugs. Contact Dermatitis 1986; 15(5): 282-288.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3545669&query_hl=2&itool=pubmed_docsum"
82,"Kligman AM. ","The identification of contact allergens by human assay. 3. The maximization test: a procedure for screening and rating contact sensitizers. J Invest Dermatol 1966; 47(5): 393-409.","",""
83,"Nakano Y, Niimi I, Kobayashi Y, Yamamoto H. ","Immunological properties of isepamicin (HAPA-B). Jpn J Antibiot 1986; 39(12): 3329-3340.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3560442&query_hl=2&itool=pubmed_docsum"
81,"Oyama N, Sudo N, Sogawa H, Kubo C.","Antibiotic use during infancy promotes a shift in the TH1/TH2 balance toward TH2-dominant immunity in mice. J Allergy Clin Immunol 2001; 107(1): 153-159.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=11150005&query_hl=7&itool=pubmed_docsum"
84,"Katagiri K, Takayasu S. ","Drug induced acute generalized exanthematous pustulosis. J Dermatol 1996; 23(9): 623-627.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8916663&query_hl=2&itool=pubmed_DocSum	"
85,"Calnan CD, Sarkany I. ","Contact dermatitis from neomycin. Br J Dermatol 1958; 70(12): 435-445.","",""
86,"Kooij R.","Allergic contact dermatitis due to neomycin. Cross-sensitivity with other antibiotics; and positive patch tests with the isomeric compounds neomycin B and neomycin C and with neamine. S Afr Med J 1961; 35: 406-411. ","",""
87,"Boonen W, Van Hogervorst J. ","Contact allergy to neomycin and the pattern of associated group sensitivity. Ned Tijdschr Geneeskd 1964; 108: 300-304.","",""
88,"Kirton V, Munro-Ashman D. ","Contact dermatitis from neomycin and framycetin. Lancet 1965; I (7377): 138-139.","",""
89,"Feiwel M, Munro-Ashman D. ","Hypersensitivity to neomycin. Br Med J 1965; 1(5440): 994-995.","",""
90,"Jensen OC, Allen HJ, Mordecai LR. ","Neomycin contact dermatitis superimposed on otitis externa. JAMA 1966; 195(2): 131-133.","",""
91,"Schwank R. ","Allergy to neomycin. I. Increasing occurrence of contact hypersensitivity to neomycin. II. Group hypersensitivity of neomycin and chemically related antibiotics. Cesk Dermatol 1967; 42(5) 341-350.","",""
92,"Matner T. ","Eczematous sensitization due to neomycin. Hautarzt 1969; 20(10): 446-450.","",""
93,"Bandmann HJ. ","Contact allergy after neomycin. Munch Med Wochenschr 1970; 112(23): 1125.","",""
94,"Bowczyc J, Malinowska H, Filipiuk J. ","Contact allergy to neomycin in the light of clinical observations and tests. Przegl Dermatol 1970; 57(6): 763-767.","",""
95,"Hattori S. ","Contact dermatitis due to neomycin and its cross sensitivity. Nippon Ika Daigaku Zasshi 1972; 39(3): 23-35.","",""
96,"Carruthers JA, Cronin E. ","Incidence of neomycin and framycetin sensitivity. Contact Dermatitis 1976; 2(5): 269-270.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=1017192&query_hl=13&itool=pubmed_docsum"
97,"Shouji A. ","Dermal contact dermatitis induced by neomycin. Nippon Rinsho 1977; 35(1): 210-212.","",""
98,"Leyden JJ, Kligman AM. ","Contact dermatitis to neomycin sulfate. JAMA 1979; 242(12): 1276-1278.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=480541&query_hl=16&itool=pubmed_docsum"
99,"Epstein E. ","Contact dermatitis to neomycin with false negative patch tests: allergy established by intradermal and usage tests. Contact Dermatitis 1980; 6(3): 219-220.","",""
100,"Greef OB, Beaumont VJ. ","Neomycin sensitivity. S Afr Med J 1980; 58(24): 953.","",""
101,"Gordon W. ","Neomycin sensitization. S Afr Med J 1981; 59(7): 212.","",""
102,"Dasaraju P, Klotz SA, Bartholomew W.","Contact dermatitis secondary to Neosporin ointment. Clin Infect Dis 1997; 33(1): 145. ","",""
103,"Menezes de Padua CA, Uter W, Schnuch A. ","Contact allergy to topical drugs: prevalence in a clinical setting and estimation of frequency at the population level. Pharmacoepidemiol Drug Saf 2006; [Epub ahead of print]","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16981214&query_hl=3&itool=pubmed_DocSum"
104,"Menezes de Padua CA, Schnuch A, Lessmann H, Geier J, Pfahlberg A, Uter W. ","Contact allergy to neomycin sulfate: results of a multifactorial analysis. Pharmacoepidemiol Drug Saf 200; 14(10): 725-733.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=15880442&query_hl=3&itool=pubmed_DocSum"
105,"Kimura M, Kawada A. ","Contact sensitivity induced by neomycin with cross-sensitivity to other aminoglycoside antibiotics. Contact Dermatitis 1998; 39(3): 148-150.","",""
106,"Downey RJ, Pisano JC. ","Some effects of antimicrobial compounds on phagocytosis in vitro. J Reticuloendoth Soc 1965; 85: 75-88.","",""
107,"Magnusson B, Kligman AM. ","The identification of contact allergens by animal assays. The guinea-pig maximization test. J Invest Dermatol 1969; 52(3): 268-276.","",""
108,"Kero M, Hannuksela M ","Guinea pig maximization test, open epicutaneous test and chamber test in induction of delayed contact hypersensitivity. Contact Dermatitis 1980; 6(5): 341-344.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=7418390&query_hl=6&itool=pubmed_docsum"
109,"Marzulli FN, Maibach HI. ","Experimental contact sensitization in man. J Soc Cosm Chem 1973; 24: 399.","",""
111,"Millard TP, Orton DI. ","Changing patterns of contact allergy in chronic inflammatory ear disease. Contact Dermatitis 2004; 50(2): 83-86.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=15128318&query_hl=5&itool=pubmed_DocSum"
112,"Proebstle TM, Jugert FK, Merk HF, Gall H. ","Severe anaphylactic reaction to topical administration of framycetin. J Allergy Clin Immunol 1995; 6(3): 429-430.","",""
113,"Ziegeler S, Raddatz A, Hoff G, Buchinger H, Bauer I, Stockhausen A, Sasse H, Sandmann I, Horsch S, Rensing H.","Antibiotics modulate the stimulated cytokine response to endotoxin in a human ex vivo, in vitro model. Acta Anaesthesiol Scand. 2006; 50(9): 1103-1110.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16939481&query_hl=1&itool=pubmed_docsum"
114,"Hasegawa T, Hirai C.","Immunogenicity study of netilmicin. Jpn J Antibiot. 1982; 35(4): 945-949.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=7097988&query_hl=1&itool=pubmed_DocSum"
115,"Bernard P, Paris H, Catanzano G, Bonnetblanc JM.","Localized cutaneous vasculitis induced by subcutaneous netilmicin. Presse Med 1987; 16(18): 915-916.","",""
116,"Lee YD, Cho Y, Han MS. ","Anaphylaxis due to ribostamycin. Allergy 2004; 59(10): 1134-1135.","",""
117,"Puig LL, Abadias M, Alomar A. ","Erythroderma due to ribostamycin. Contact Dermatitis 1989; 21(2): 79-82.","",""
118,"Katayama I, Nishioka K.","Systemic contact dermatitis medicamentosa induced by topical eye lotion (sisomicin) in a patient with corneal allograft. Arch Dermatol 1987; 123(4): 436-437.","",""
119,"Kavelman DA.","Streptomycin and acute anaphylaxis. Can Med Assoc J 1961; 84: 332-333.","",""
120,"Sato I, Niwa I. ","Cases of shock-like conditions. (5) case of anaphylactic shock caused by use of a streptomycin nebulizer to confirm a skin test. Jibiinkoka. 1963; 35: 1084-1087.","",""
121,"Chernushenko EF, Pugachev VS, Zhuk GP.","A case of development of anaphylactic shock following treatment with streptomycin. Probl Tuberk 1966; 44(3): 71-73.","",""
122,"Vomissarenko BT. ","Severe anaphylactic reaction to the intracutaneous streptomycin test. Antibiotiki 1968; 13(3): 269-270.","",""
123,"Basin LM.","Severe anaphylactic shock after administration of streptomycin complicated by right side hemiparesis and hearing disturbance. Antibiotiki 1968; 13(7): 53-56.","",""
124,"Levene GM, Withers AF. ","Anaphylaxis to streptomycin and hyposensitization (parasensitization). Trans St Johns Hosp Dermatol Soc 1969; 55(2): 184-188.","",""
125,"Tai T, Chen C. ","Anaphylactic shock following an injection of streptomycin. A case report. Taiwan Yi Xue Hui Za Zhi 1969; 68(12): 702-704.","",""
126,"Grishchenko PI, Kunovskii BV. ","A case of anaphylactic shock following administration of streptomycin to a pregnant woman with pulmonary tuberculosis. Vrach Delo 1972; 10: 89-90.","",""
127,"Prasad R.","Anaphylactic shock due to streptomycin sulphate. J Indian Med Assoc 1984; 82(7): 254-255.","",""
128,"Romano A, Viola M, Di Fonso M, Rosaria Perrone M, Gaeta F, Andriolo M. ","Anaphylaxis to streptomycin. Allergy 2002; 57(11): 1087-1088.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=12359019&query_hl=30&itool=pubmed_docsum"
129,"Perez R, Garces M, Marcos M, Alonso L, Carretero P, Juste S, Blanco J, Navarro J. ","Anaphylaxis induced by streptomycin in cell media. Allergy 1996; 51(2) 135-136.","",""
130,"Abeck D, Kuwert C, Segnini-Torres M, Przybilla B, Ring J.","Streptomycin-induced anaphylactic reaction during in vitro fertilization (IVF). Allergy 1994; 49(5): 388-389.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8092440&query_hl=30&itool=pubmed_docsum"
131,"Tinkelman DG, Bock SA. ","Anaphylaxis presumed to be caused by beef containing streptomycin. Ann Allergy 1984; 53(3): 243-244.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6476483&query_hl=30&itool=pubmed_docsum"
132,"Iikura M, Yamaguchi M, Hirai K, Suenaga A, Fujiwara T, Fujii T, Taketani Y, Yamamoto K. ","Case report: streptomycin-induced anaphylactic shock during oocyte retrieval procedures for in vitro fertilization. J Allergy Clin Immunol 2002; 109(3): 571-572.","",""
